2026-01-09 21:41:05,597 | INFO | DetectionEngine | Signature rules loaded successfully.
2026-01-09 23:24:59,999 | INFO | IDS-Main | IDS initialized in TEST mode
2026-01-09 23:24:59,999 | INFO | IDS-Main | Running IDS in TEST mode
2026-01-09 23:25:00,000 | WARNING | DetectionEngine | Signature match detected: syn_flood
2026-01-09 23:25:00,001 | WARNING | DetectionEngine | Signature match detected: dos_attack
2026-01-09 23:25:00,001 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T17:55:00.001349", "alert_type": "signature", "attack_name": "syn_flood", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.0.0.1", "port": 1234}, "destination": {"ip": "192.168.1.10", "port": 80}, "traffic": {"packet_size": 40, "packet_rate": 10000.0, "byte_rate": 400000.0, "tcp_flags": "S"}}
2026-01-09 23:25:00,012 | INFO | AlertSystem | Alert successfully sent to API
2026-01-09 23:25:00,013 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T17:55:00.013385", "alert_type": "signature", "attack_name": "dos_attack", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.0.0.1", "port": 1234}, "destination": {"ip": "192.168.1.10", "port": 80}, "traffic": {"packet_size": 40, "packet_rate": 10000.0, "byte_rate": 400000.0, "tcp_flags": "S"}}
2026-01-09 23:25:00,035 | INFO | AlertSystem | Alert successfully sent to API
2026-01-09 23:25:00,537 | WARNING | DetectionEngine | Signature match detected: syn_flood
2026-01-09 23:25:00,537 | WARNING | DetectionEngine | Signature match detected: dos_attack
2026-01-09 23:25:00,538 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T17:55:00.538029", "alert_type": "signature", "attack_name": "syn_flood", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.0.0.1", "port": 1235}, "destination": {"ip": "192.168.1.10", "port": 80}, "traffic": {"packet_size": 40, "packet_rate": 10000.0, "byte_rate": 400000.0, "tcp_flags": "S"}}
2026-01-09 23:25:00,960 | INFO | AlertSystem | Alert successfully sent to API
2026-01-09 23:25:00,960 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T17:55:00.960399", "alert_type": "signature", "attack_name": "dos_attack", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.0.0.1", "port": 1235}, "destination": {"ip": "192.168.1.10", "port": 80}, "traffic": {"packet_size": 40, "packet_rate": 10000.0, "byte_rate": 400000.0, "tcp_flags": "S"}}
2026-01-09 23:25:00,979 | INFO | AlertSystem | Alert successfully sent to API
2026-01-09 23:25:01,480 | WARNING | DetectionEngine | Signature match detected: syn_flood
2026-01-09 23:25:01,480 | WARNING | DetectionEngine | Signature match detected: dos_attack
2026-01-09 23:25:01,481 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T17:55:01.481438", "alert_type": "signature", "attack_name": "syn_flood", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.0.0.1", "port": 1236}, "destination": {"ip": "192.168.1.10", "port": 80}, "traffic": {"packet_size": 40, "packet_rate": 10000.0, "byte_rate": 400000.0, "tcp_flags": "S"}}
2026-01-09 23:25:01,503 | INFO | AlertSystem | Alert successfully sent to API
2026-01-09 23:25:01,503 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T17:55:01.503390", "alert_type": "signature", "attack_name": "dos_attack", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.0.0.1", "port": 1236}, "destination": {"ip": "192.168.1.10", "port": 80}, "traffic": {"packet_size": 40, "packet_rate": 10000.0, "byte_rate": 400000.0, "tcp_flags": "S"}}
2026-01-09 23:25:01,519 | INFO | AlertSystem | Alert successfully sent to API
2026-01-09 23:25:02,019 | INFO | IDS-Main | TEST mode completed
2026-01-09 23:39:23,341 | INFO | DetectionEngine | Signature rules loaded successfully.
2026-01-09 23:39:23,341 | INFO | AlertSystem | Alert system initialized
2026-01-09 23:39:23,341 | INFO | IDS-Main | IDS initialized in TEST mode
2026-01-09 23:39:23,341 | INFO | IDS-Main | Running IDS in TEST mode
2026-01-09 23:39:23,343 | WARNING | DetectionEngine | Signature match detected: syn_flood
2026-01-09 23:39:23,343 | WARNING | DetectionEngine | Signature match detected: dos_attack
2026-01-09 23:39:23,343 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T18:09:23.343042", "alert_type": "signature", "attack_name": "syn_flood", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.0.0.1", "port": 1234}, "destination": {"ip": "192.168.1.10", "port": 80}, "traffic": {"packet_size": 40, "packet_rate": 10000.0, "byte_rate": 400000.0, "tcp_flags": "S"}}
2026-01-09 23:39:23,348 | INFO | AlertSystem | Alert successfully sent to API
2026-01-09 23:39:23,348 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T18:09:23.348588", "alert_type": "signature", "attack_name": "dos_attack", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.0.0.1", "port": 1234}, "destination": {"ip": "192.168.1.10", "port": 80}, "traffic": {"packet_size": 40, "packet_rate": 10000.0, "byte_rate": 400000.0, "tcp_flags": "S"}}
2026-01-09 23:39:23,365 | INFO | AlertSystem | Alert successfully sent to API
2026-01-09 23:39:23,868 | WARNING | DetectionEngine | Signature match detected: syn_flood
2026-01-09 23:39:23,868 | WARNING | DetectionEngine | Signature match detected: dos_attack
2026-01-09 23:39:23,868 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T18:09:23.868816", "alert_type": "signature", "attack_name": "syn_flood", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.0.0.1", "port": 1235}, "destination": {"ip": "192.168.1.10", "port": 80}, "traffic": {"packet_size": 40, "packet_rate": 10000.0, "byte_rate": 400000.0, "tcp_flags": "S"}}
2026-01-09 23:39:23,893 | INFO | AlertSystem | Alert successfully sent to API
2026-01-09 23:39:23,893 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T18:09:23.893472", "alert_type": "signature", "attack_name": "dos_attack", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.0.0.1", "port": 1235}, "destination": {"ip": "192.168.1.10", "port": 80}, "traffic": {"packet_size": 40, "packet_rate": 10000.0, "byte_rate": 400000.0, "tcp_flags": "S"}}
2026-01-09 23:39:23,909 | INFO | AlertSystem | Alert successfully sent to API
2026-01-09 23:39:24,410 | WARNING | DetectionEngine | Signature match detected: syn_flood
2026-01-09 23:39:24,410 | WARNING | DetectionEngine | Signature match detected: dos_attack
2026-01-09 23:39:24,411 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T18:09:24.411094", "alert_type": "signature", "attack_name": "syn_flood", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.0.0.1", "port": 1236}, "destination": {"ip": "192.168.1.10", "port": 80}, "traffic": {"packet_size": 40, "packet_rate": 10000.0, "byte_rate": 400000.0, "tcp_flags": "S"}}
2026-01-09 23:39:24,437 | INFO | AlertSystem | Alert successfully sent to API
2026-01-09 23:39:24,438 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T18:09:24.438512", "alert_type": "signature", "attack_name": "dos_attack", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.0.0.1", "port": 1236}, "destination": {"ip": "192.168.1.10", "port": 80}, "traffic": {"packet_size": 40, "packet_rate": 10000.0, "byte_rate": 400000.0, "tcp_flags": "S"}}
2026-01-09 23:39:24,441 | INFO | AlertSystem | Alert successfully sent to API
2026-01-09 23:39:24,942 | INFO | IDS-Main | TEST mode completed
2026-01-09 23:53:24,337 | INFO | DetectionEngine | Signature rules loaded successfully.
2026-01-09 23:53:24,337 | INFO | AlertSystem | Alert system initialized
2026-01-09 23:53:24,337 | INFO | IDS-Main | IDS initialized in TEST mode
2026-01-09 23:53:24,337 | INFO | IDS-Main | Running IDS in TEST mode
2026-01-09 23:53:24,339 | WARNING | DetectionEngine | Signature match detected: syn_flood
2026-01-09 23:53:24,339 | WARNING | DetectionEngine | Signature match detected: dos_attack
2026-01-09 23:53:24,339 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T18:23:24.339644", "alert_type": "signature", "attack_name": "syn_flood", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.0.0.1", "port": 1234}, "destination": {"ip": "192.168.1.10", "port": 80}, "traffic": {"packet_size": 40, "packet_rate": 10000.0, "byte_rate": 400000.0, "tcp_flags": "S"}}
2026-01-09 23:53:24,345 | INFO | AlertSystem | Alert successfully sent to API
2026-01-09 23:53:24,346 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T18:23:24.345699", "alert_type": "signature", "attack_name": "dos_attack", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.0.0.1", "port": 1234}, "destination": {"ip": "192.168.1.10", "port": 80}, "traffic": {"packet_size": 40, "packet_rate": 10000.0, "byte_rate": 400000.0, "tcp_flags": "S"}}
2026-01-09 23:53:24,350 | INFO | AlertSystem | Alert successfully sent to API
2026-01-09 23:53:24,850 | WARNING | DetectionEngine | Signature match detected: syn_flood
2026-01-09 23:53:24,851 | WARNING | DetectionEngine | Signature match detected: dos_attack
2026-01-09 23:53:24,851 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T18:23:24.851845", "alert_type": "signature", "attack_name": "syn_flood", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.0.0.1", "port": 1235}, "destination": {"ip": "192.168.1.10", "port": 80}, "traffic": {"packet_size": 40, "packet_rate": 10000.0, "byte_rate": 400000.0, "tcp_flags": "S"}}
2026-01-09 23:53:24,875 | INFO | AlertSystem | Alert successfully sent to API
2026-01-09 23:53:24,876 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T18:23:24.876583", "alert_type": "signature", "attack_name": "dos_attack", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.0.0.1", "port": 1235}, "destination": {"ip": "192.168.1.10", "port": 80}, "traffic": {"packet_size": 40, "packet_rate": 10000.0, "byte_rate": 400000.0, "tcp_flags": "S"}}
2026-01-09 23:53:24,880 | INFO | AlertSystem | Alert successfully sent to API
2026-01-09 23:53:25,382 | WARNING | DetectionEngine | Signature match detected: syn_flood
2026-01-09 23:53:25,382 | WARNING | DetectionEngine | Signature match detected: dos_attack
2026-01-09 23:53:25,382 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T18:23:25.382803", "alert_type": "signature", "attack_name": "syn_flood", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.0.0.1", "port": 1236}, "destination": {"ip": "192.168.1.10", "port": 80}, "traffic": {"packet_size": 40, "packet_rate": 10000.0, "byte_rate": 400000.0, "tcp_flags": "S"}}
2026-01-09 23:53:25,385 | INFO | AlertSystem | Alert successfully sent to API
2026-01-09 23:53:25,386 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T18:23:25.386830", "alert_type": "signature", "attack_name": "dos_attack", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.0.0.1", "port": 1236}, "destination": {"ip": "192.168.1.10", "port": 80}, "traffic": {"packet_size": 40, "packet_rate": 10000.0, "byte_rate": 400000.0, "tcp_flags": "S"}}
2026-01-09 23:53:25,388 | INFO | AlertSystem | Alert successfully sent to API
2026-01-09 23:53:25,890 | INFO | IDS-Main | TEST mode completed
2026-01-10 00:31:03,953 | INFO | DetectionEngine | Signature rules loaded successfully.
2026-01-10 00:31:03,954 | INFO | AlertSystem | Alert system initialized
2026-01-10 00:31:03,954 | INFO | IDS-Main | IDS initialized in PCAP mode
2026-01-10 00:31:03,954 | INFO | IDS-Main | Running IDS in PCAP mode: data/pcaps/sample.pcap
2026-01-10 00:31:03,954 | INFO | PCAPReader | Reading PCAP file: data/pcaps/sample.pcap
2026-01-10 00:31:04,067 | WARNING | DetectionEngine | Signature match detected: syn_flood
2026-01-10 00:31:04,067 | WARNING | DetectionEngine | Signature match detected: dos_attack
2026-01-10 00:31:04,067 | WARNING | DetectionEngine | Signature match detected: suspicious_small_packets
2026-01-10 00:31:04,067 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T19:01:04.067638", "alert_type": "signature", "attack_name": "syn_flood", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "104.18.38.9", "port": 443}, "destination": {"ip": "10.234.183.252", "port": 54993}, "traffic": {"packet_size": 86, "packet_rate": 10000.0, "byte_rate": 860000.0, "tcp_flags": "PA"}}
2026-01-10 00:31:04,097 | INFO | AlertSystem | Alert successfully sent to API
2026-01-10 00:31:04,097 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T19:01:04.097673", "alert_type": "signature", "attack_name": "dos_attack", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "104.18.38.9", "port": 443}, "destination": {"ip": "10.234.183.252", "port": 54993}, "traffic": {"packet_size": 86, "packet_rate": 10000.0, "byte_rate": 860000.0, "tcp_flags": "PA"}}
2026-01-10 00:31:04,122 | INFO | AlertSystem | Alert successfully sent to API
2026-01-10 00:31:04,123 | INFO | AlertSystem | {"timestamp": "2026-01-09T19:01:04.123030", "alert_type": "signature", "attack_name": "suspicious_small_packets", "severity": "low", "mitre_technique": "T1046", "anomaly_score": null, "source": {"ip": "104.18.38.9", "port": 443}, "destination": {"ip": "10.234.183.252", "port": 54993}, "traffic": {"packet_size": 86, "packet_rate": 10000.0, "byte_rate": 860000.0, "tcp_flags": "PA"}}
2026-01-10 00:31:04,126 | INFO | AlertSystem | Alert successfully sent to API
2026-01-10 00:31:04,126 | WARNING | DetectionEngine | Signature match detected: syn_flood
2026-01-10 00:31:04,127 | WARNING | DetectionEngine | Signature match detected: dos_attack
2026-01-10 00:31:04,127 | WARNING | DetectionEngine | Signature match detected: suspicious_small_packets
2026-01-10 00:31:04,127 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T19:01:04.127032", "alert_type": "signature", "attack_name": "syn_flood", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.234.183.252", "port": 54993}, "destination": {"ip": "104.18.38.9", "port": 443}, "traffic": {"packet_size": 90, "packet_rate": 10000.0, "byte_rate": 900000.0, "tcp_flags": "PA"}}
2026-01-10 00:31:04,130 | INFO | AlertSystem | Alert successfully sent to API
2026-01-10 00:31:04,130 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T19:01:04.130609", "alert_type": "signature", "attack_name": "dos_attack", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.234.183.252", "port": 54993}, "destination": {"ip": "104.18.38.9", "port": 443}, "traffic": {"packet_size": 90, "packet_rate": 10000.0, "byte_rate": 900000.0, "tcp_flags": "PA"}}
2026-01-10 00:31:04,133 | INFO | AlertSystem | Alert successfully sent to API
2026-01-10 00:31:04,133 | INFO | AlertSystem | {"timestamp": "2026-01-09T19:01:04.133617", "alert_type": "signature", "attack_name": "suspicious_small_packets", "severity": "low", "mitre_technique": "T1046", "anomaly_score": null, "source": {"ip": "10.234.183.252", "port": 54993}, "destination": {"ip": "104.18.38.9", "port": 443}, "traffic": {"packet_size": 90, "packet_rate": 10000.0, "byte_rate": 900000.0, "tcp_flags": "PA"}}
2026-01-10 00:31:04,137 | INFO | AlertSystem | Alert successfully sent to API
2026-01-10 00:31:04,137 | WARNING | DetectionEngine | Signature match detected: syn_flood
2026-01-10 00:31:04,138 | WARNING | DetectionEngine | Signature match detected: dos_attack
2026-01-10 00:31:04,138 | WARNING | DetectionEngine | Signature match detected: suspicious_small_packets
2026-01-10 00:31:04,138 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T19:01:04.138463", "alert_type": "signature", "attack_name": "syn_flood", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "140.82.113.26", "port": 443}, "destination": {"ip": "10.234.183.252", "port": 57030}, "traffic": {"packet_size": 80, "packet_rate": 10000.0, "byte_rate": 800000.0, "tcp_flags": "PA"}}
2026-01-10 00:31:04,152 | INFO | AlertSystem | Alert successfully sent to API
2026-01-10 00:31:04,152 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T19:01:04.152631", "alert_type": "signature", "attack_name": "dos_attack", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "140.82.113.26", "port": 443}, "destination": {"ip": "10.234.183.252", "port": 57030}, "traffic": {"packet_size": 80, "packet_rate": 10000.0, "byte_rate": 800000.0, "tcp_flags": "PA"}}
2026-01-10 00:31:04,168 | INFO | AlertSystem | Alert successfully sent to API
2026-01-10 00:31:04,168 | INFO | AlertSystem | {"timestamp": "2026-01-09T19:01:04.168600", "alert_type": "signature", "attack_name": "suspicious_small_packets", "severity": "low", "mitre_technique": "T1046", "anomaly_score": null, "source": {"ip": "140.82.113.26", "port": 443}, "destination": {"ip": "10.234.183.252", "port": 57030}, "traffic": {"packet_size": 80, "packet_rate": 10000.0, "byte_rate": 800000.0, "tcp_flags": "PA"}}
2026-01-10 00:31:04,172 | INFO | AlertSystem | Alert successfully sent to API
2026-01-10 00:31:04,173 | WARNING | DetectionEngine | Signature match detected: syn_flood
2026-01-10 00:31:04,173 | WARNING | DetectionEngine | Signature match detected: dos_attack
2026-01-10 00:31:04,173 | WARNING | DetectionEngine | Signature match detected: suspicious_small_packets
2026-01-10 00:31:04,173 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T19:01:04.173124", "alert_type": "signature", "attack_name": "syn_flood", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.234.183.252", "port": 57030}, "destination": {"ip": "140.82.113.26", "port": 443}, "traffic": {"packet_size": 84, "packet_rate": 10000.0, "byte_rate": 840000.0, "tcp_flags": "PA"}}
2026-01-10 00:31:04,176 | INFO | AlertSystem | Alert successfully sent to API
2026-01-10 00:31:04,176 | CRITICAL | AlertSystem | {"timestamp": "2026-01-09T19:01:04.176684", "alert_type": "signature", "attack_name": "dos_attack", "severity": "high", "mitre_technique": "T1499", "anomaly_score": null, "source": {"ip": "10.234.183.252", "port": 57030}, "destination": {"ip": "140.82.113.26", "port": 443}, "traffic": {"packet_size": 84, "packet_rate": 10000.0, "byte_rate": 840000.0, "tcp_flags": "PA"}}
2026-01-10 00:31:04,199 | INFO | AlertSystem | Alert successfully sent to API
2026-01-10 00:31:04,200 | INFO | AlertSystem | {"timestamp": "2026-01-09T19:01:04.200153", "alert_type": "signature", "attack_name": "suspicious_small_packets", "severity": "low", "mitre_technique": "T1046", "anomaly_score": null, "source": {"ip": "10.234.183.252", "port": 57030}, "destination": {"ip": "140.82.113.26", "port": 443}, "traffic": {"packet_size": 84, "packet_rate": 10000.0, "byte_rate": 840000.0, "tcp_flags": "PA"}}
2026-01-10 00:31:04,203 | INFO | AlertSystem | Alert successfully sent to API
2026-01-10 00:31:04,204 | WARNING | DetectionEngine | Signature match detected: syn_flood
2026-01-10 00:31:04,204 | WARNING | DetectionEngine | Signature match detected: port_scan
2026-01-10 00:31:04,204 | WARNING | DetectionEngine | Signature match detected: dos_attack
2026-01-10 00:31:04,205 | WARNING | DetectionEngine | Signature match detected: suspicious_small_packets
